id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1287572,2023-01-05,000001,Vente,121000,9,,ALL FLEURS JAUNES,0543,97410,97416,Saint-Pierre,974,,,97416000ES0998,,,8,,,,,,,,,,1,2,Appartement,51,3,,,,,,55.508361,-21.352001
2023-1287572,2023-01-05,000001,Vente,121000,9,,ALL FLEURS JAUNES,0543,97410,97416,Saint-Pierre,974,,,97416000ES0998,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.508361,-21.352001
2023-1287573,2023-01-06,000001,Vente,110000,2,B,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,,,97411000AW0901,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.474547,-20.893509
2023-1287573,2023-01-06,000001,Vente,110000,2,B,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,,,97411000AW0901,,,24,,,,,,,,,,1,2,Appartement,58,3,,,,,,55.474547,-20.893509
2023-1287573,2023-01-06,000001,Vente,110000,,,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,,,97411000AW0909,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.474403,-20.893261
2023-1287574,2023-01-06,000001,Vente terrain à bâtir,204516,2,,CHE BORDIER,0055,97419,97408,La Possession,974,,,97408000AS0530,,,,,,,,,,,,,0,,,,,L,landes,,,508,55.340513,-20.96627
2023-1287575,2023-01-04,000001,Vente,92620,18,,AV STANISLAS GIMART,1367,97490,97411,Saint-Denis,974,,,97411000AW0207,,,41,,,,,,,,,,1,2,Appartement,54,3,,,,,,55.475113,-20.893167
2023-1287575,2023-01-04,000001,Vente,92620,18,,AV STANISLAS GIMART,1367,97490,97411,Saint-Denis,974,,,97411000AW0207,,,277,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.475113,-20.893167
2023-1287576,2023-01-10,000001,Vente,575000,14,,RUE DES COLOMBES,0204,97424,97413,Saint-Leu,974,,,97413000DE1419,,,,,,,,,,,,,0,1,Maison,119,4,S,sols,,,443,55.317186,-21.218613
2023-1287577,2023-01-11,000001,Vente,609000,57,,CHE DES ALIZES,0007,97419,97408,La Possession,974,,,97408000AC2730,,,,,,,,,,,,,0,1,Maison,149,5,S,sols,,,600,55.359821,-20.924214
2023-1287578,2023-01-13,000001,Vente,121500,43,C,RUE JEAN XXIII,0720,97450,97414,Saint-Louis,974,,,97414000DS0849,,,47,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.416252,-21.273071
2023-1287578,2023-01-13,000001,Vente,121500,43,C,RUE JEAN XXIII,0720,97450,97414,Saint-Louis,974,,,97414000DS0849,,,24,,,,,,,,,,1,2,Appartement,62,3,,,,,,55.416252,-21.273071
2023-1287578,2023-01-13,000001,Vente,121500,43,C,RUE JEAN XXIII,0720,97450,97414,Saint-Louis,974,,,97414000DS0849,,,64,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.416252,-21.273071
2023-1287579,2023-01-06,000001,Vente,62000,8,B,RUE THERESIEN CADET MFIA,1408,97490,97411,Saint-Denis,974,,,97411000HM0210,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.480059,-20.907698
2023-1287579,2023-01-06,000001,Vente,62000,8,B,RUE THERESIEN CADET MFIA,1408,97490,97411,Saint-Denis,974,,,97411000HM0210,,,2,,,,,,,,,,1,2,Appartement,27,1,,,,,,55.480059,-20.907698
2023-1287580,2023-01-03,000001,Vente,250000,33,,CHE DE LA CAVERNE,0289,97434,97415,Saint-Paul,974,,,97415000HM0141,,,59,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.231227,-21.050158
2023-1287580,2023-01-03,000001,Vente,250000,33,,CHE DE LA CAVERNE,0289,97434,97415,Saint-Paul,974,,,97415000HM0141,,,118,,,,,,,,,,1,2,Appartement,43,1,,,,,,55.231227,-21.050158
2023-1287581,2023-01-03,000001,Vente,89660,12,,RUE VICTOR SCHOELCHER,0381,97419,97408,La Possession,974,,,97408000BN3626,,,12,,,,,,,,,,1,2,Appartement,20,2,,,,,,55.333984,-20.93135
2023-1287581,2023-01-03,000001,Vente,89660,36,,RUE SARDA GARRIGA,0360,97419,97408,La Possession,974,,,97408000BN3626,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.333984,-20.93135
2023-1287582,2023-01-03,000001,Vente,390150,133,,AV DE LA GRANDE OURSE,1746,97434,97415,Saint-Paul,974,,,97415000DE0799,,,4,,,,,,,,,,1,2,Appartement,60,3,,,,,,55.227713,-21.063802
2023-1287582,2023-01-03,000001,Vente,390150,133,,AV DE LA GRANDE OURSE,1746,97434,97415,Saint-Paul,974,,,97415000DE0799,,,113,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.227713,-21.063802
2023-1287582,2023-01-03,000001,Vente,390150,133,,AV DE LA GRANDE OURSE,1746,97434,97415,Saint-Paul,974,,,97415000DE0799,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.227713,-21.063802
2023-1287583,2023-01-09,000001,Vente,360000,9999,,CHE DES CASQUES,0285,97434,97415,Saint-Paul,974,,,97415000HK0356,,,5,,,,,,,,,,1,2,Appartement,38,2,,,,,,55.254708,-21.107473
2023-1287583,2023-01-09,000001,Vente,360000,9999,,CHE DES CASQUES,0285,97434,97415,Saint-Paul,974,,,97415000HK0356,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.254708,-21.107473
2023-1287584,2023-01-09,000001,Vente,580000,94,,CHE SUMMER N 1 (ST G LES BNS),1404,97434,97415,Saint-Paul,974,,,97415000CZ0811,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,401,55.227413,-21.048884
2023-1287584,2023-01-09,000001,Vente,580000,94,,CHE SUMMER N 1 (ST G LES BNS),1404,97434,97415,Saint-Paul,974,,,97415000CZ0811,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,401,55.227413,-21.048884
2023-1287585,2023-01-10,000001,Vente,110000,,,TAN ROUGE LA CROIX,B787,97435,97415,Saint-Paul,974,,,97415000DT1106,,,,,,,,,,,,,0,,,,,T,terres,,,557,55.307728,-21.058898
2023-1287586,2023-01-10,000001,Vente,701105,58,,RUE DES BONITES,0174,97434,97415,Saint-Paul,974,,,97415000HI0573,,,,,,,,,,,,,0,1,Maison,61,4,S,sols,,,260,55.234102,-21.055139
2023-1287587,2023-01-04,000001,Vente,280000,2,,RUE ANATOLE FRANCE,0010,97419,97408,La Possession,974,,,97408000BR0056,,,,,,,,,,,,,0,1,Maison,68,5,S,sols,,,431,55.331859,-20.937067
2023-1287588,2023-01-06,000001,Vente,118480,56,,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,,,97411000BK0335,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.495226,-20.899
2023-1287588,2023-01-06,000001,Vente,118480,56,,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,,,97411000BK0335,,,183,,,,,,,,,,1,2,Appartement,60,3,,,,,,55.495226,-20.899
2023-1287589,2023-01-11,000001,Vente,40000,,,MANIRON,B016,97427,97404,L'Étang-Salé,974,,,97404000AD0429,,,,,,,,,,,,,0,,,,,T,terres,,,140,55.391301,-21.256682
2023-1287589,2023-01-11,000001,Vente,40000,116,,CHE DU MANIRON,0257,97427,97404,L'Étang-Salé,974,,,97404000AD1201,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,794,55.391545,-21.256867
2023-1287590,2023-01-12,000001,Vente,138000,26,,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,,,97411000HN0126,,,7,,,,,,,,,,1,2,Appartement,67,3,,,,,,55.483274,-20.91215
2023-1287590,2023-01-12,000001,Vente,138000,26,,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,,,97411000HN0126,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.483274,-20.91215
2023-1287591,2023-01-06,000001,Vente,130000,71,,RUE TESSAN,1391,97490,97411,Saint-Denis,974,,,97411000BH0361,,,56,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.47873,-20.896394
