id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-1418426,2020-01-06,000001,Vente,425000,19,,RLE DATIER,0385,97400,97411,Saint-Denis,974,,,97411000AN0174,,,,,,,,,,,,,0,1,Maison,93,3,S,sols,,,342,55.459532,-20.884153
2020-1418427,2020-01-10,000001,Vente,113000,26,,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,,,97411000HN0126,,,70,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.483274,-20.91215
2020-1418427,2020-01-10,000001,Vente,113000,26,,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,,,97411000HN0126,,,34,76.56,,,,,,,,,1,2,Appartement,76,3,,,,,,55.483274,-20.91215
2020-1418428,2020-01-09,000001,Vente,255000,58,,CHE DE LA MAIRIE    (GUILL),0951,97423,97415,Saint-Paul,974,,,97415000CL0447,,,,,,,,,,,,,0,1,Maison,54,3,S,sols,,,825,55.300334,-21.032965
2020-1418428,2020-01-09,000001,Vente,255000,56,,CHE DE LA MAIRIE    (GUILL),0951,97423,97415,Saint-Paul,974,,,97415000CL0451,,,,,,,,,,,,,0,,,,,T,terres,,,231,55.300051,-21.033002
2020-1418429,2020-01-09,000001,Vente en l'état futur d'achèvement,190309,19,,RUE LUCIEN DUCHEMANN,0751,97470,97410,Saint-Benoît,974,,,97410000AR1477,,,,,,,,,,,,,0,,,,,S,sols,,,1754,55.719453,-21.05148
2020-1418430,2020-01-13,000001,Vente,530000,33,,RUE DES SEYCHELLES,1384,97434,97415,Saint-Paul,974,,,97415000DH0283,,,,,,,,,,,,,0,1,Maison,105,4,S,sols,,,289,55.224451,-21.074647
2020-1418431,2020-01-13,000001,Vente,67966,212,,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,,,97411000AV0414,,,159,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.443434,-20.906418
2020-1418431,2020-01-13,000001,Vente,67966,212,,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,,,97411000AV0414,,,12,25.7,,,,,,,,,1,2,Appartement,26,1,,,,,,55.443434,-20.906418
2020-1418432,2020-01-06,000001,Vente,130000,27,,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,,,97411000DN0268,,,26,57.17,,,,,,,,,1,2,Appartement,26,3,,,,,,55.459991,-20.896613
2020-1418432,2020-01-06,000001,Vente,130000,27,,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,,,97411000DN0268,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.459991,-20.896613
2020-1418433,2020-01-09,000001,Vente,53000,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,144,,,,,,,,,,1,2,Appartement,24,1,,,,,,55.444988,-20.902814
2020-1418433,2020-01-09,000001,Vente,53000,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.444988,-20.902814
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1916,,,,,,,,,,,,,0,,,,,T,terres,,,3385,55.339812,-20.965668
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1917,,,,,,,,,,,,,0,,,,,T,terres,,,375,55.338493,-20.965505
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1918,,,,,,,,,,,,,0,,,,,T,terres,,,372,55.338665,-20.965467
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1919,,,,,,,,,,,,,0,,,,,T,terres,,,38,55.338876,-20.965384
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1920,,,,,,,,,,,,,0,,,,,T,terres,,,355,55.3388,-20.965538
2020-1418434,2020-01-10,000002,Vente,450000,5370,,CHE ASSANY,0039,97419,97408,La Possession,974,,,97408000AT1921,,,,,,,,,,,,,0,,,,,T,terres,,,346,55.33896,-20.965449
