id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2019-1494197,2019-01-04,Vente,112000.0,56,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,1,Appartement,72.0,4,55.495226,-20.899
2019-1494198,2019-01-03,Vente,53000.0,16,ALL DES PRIMEVERES,1153,97490,97411,Saint-Denis,974,1,Appartement,38.0,2,55.487724,-20.910966
2019-1494199,2019-01-04,Vente,155000.0,47,RUE DE LA PETITE SOURCE,0303,97419,97408,La Possession,974,0,Maison,107.0,3,55.393102,-20.983193
2019-1494201,2019-01-07,Vente,310000.0,7,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,1,Local industriel. commercial ou assimilé,15.0,0,55.530375,-20.899945
2019-1494201,2019-01-07,Vente,310000.0,9,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,1,Local industriel. commercial ou assimilé,210.0,0,55.530375,-20.899945
2019-1494201,2019-01-07,Vente,310000.0,7,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,1,Local industriel. commercial ou assimilé,15.0,0,55.530375,-20.899945
2019-1494202,2019-01-11,Vente,33000.0,118,CHE DE BOIS ROUGE,0197,97490,97411,Saint-Denis,974,1,Appartement,24.0,1,55.486633,-20.923917
2019-1494203,2019-01-11,Vente,159500.0,18,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,1,Appartement,73.0,4,55.444988,-20.902814
2019-1494204,2019-01-08,Vente,450230.0,6,RUE DES BAIES ROSES,0052,97419,97408,La Possession,974,0,Maison,115.0,4,55.347106,-20.927961
2019-1494205,2019-01-10,Vente,316000.0,23,IMP LUCIE DE SIGOYER,1873,97460,97415,Saint-Paul,974,0,Maison,83.0,4,55.264098,-21.018173
2019-1494206,2019-01-08,Vente,92500.0,10,LOT LES CANNES,A390,97470,97410,Saint-Benoît,974,0,Maison,94.0,4,55.689967,-21.011889
2019-1494207,2019-01-16,Vente,71500.0,113,CHE LORY LEBRETON    LA BRETAG,0784,97490,97411,Saint-Denis,974,1,Appartement,45.0,1,55.497555,-20.924958
2019-1494208,2019-01-02,Vente,800000.0,36,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,0,Local industriel. commercial ou assimilé,712.0,0,55.712172,-21.032296
2019-1494208,2019-01-02,Vente,800000.0,36,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,0,Appartement,163.0,1,55.712172,-21.032296
2019-1494208,2019-01-02,Vente,800000.0,36,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,0,Local industriel. commercial ou assimilé,673.0,0,55.712172,-21.032296
2019-1494209,2019-01-16,Vente,33500.0,6,IMP DES MANGOUSTANS,0817,97490,97411,Saint-Denis,974,1,Appartement,29.0,1,55.479668,-20.893489
2019-1494210,2019-01-18,Vente,63000.0,6,RUE RAYMOND MONDON,0328,97419,97408,La Possession,974,1,Appartement,45.0,2,55.339284,-20.924919
2019-1494211,2019-01-03,Vente,750000.0,41,RUE GABRIEL DE KERVEGUEN,0554,97490,97411,Saint-Denis,974,0,Local industriel. commercial ou assimilé,499.0,0,55.495416,-20.887159
2019-1494212,2019-01-07,Vente,140000.0,17,CHE JONCTION   (TAMATAVE),0779,97435,97415,Saint-Paul,974,0,Maison,51.0,3,55.265795,-21.049286
