id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2023-1287572,2023-01-05,Vente,121000.0,9,ALL FLEURS JAUNES,0543,97410,97416,Saint-Pierre,974,1,Appartement,51.0,3,55.508361,-21.352001
2023-1287573,2023-01-06,Vente,110000.0,2,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,1,Appartement,58.0,3,55.474547,-20.893509
2023-1287575,2023-01-04,Vente,92620.0,18,AV STANISLAS GIMART,1367,97490,97411,Saint-Denis,974,1,Appartement,54.0,3,55.475113,-20.893167
2023-1287576,2023-01-10,Vente,575000.0,14,RUE DES COLOMBES,0204,97424,97413,Saint-Leu,974,0,Maison,119.0,4,55.317186,-21.218613
2023-1287577,2023-01-11,Vente,609000.0,57,CHE DES ALIZES,0007,97419,97408,La Possession,974,0,Maison,149.0,5,55.359821,-20.924214
2023-1287578,2023-01-13,Vente,121500.0,43,RUE JEAN XXIII,0720,97450,97414,Saint-Louis,974,1,Appartement,62.0,3,55.416252,-21.273071
2023-1287579,2023-01-06,Vente,62000.0,8,RUE THERESIEN CADET MFIA,1408,97490,97411,Saint-Denis,974,1,Appartement,27.0,1,55.480059,-20.907698
2023-1287580,2023-01-03,Vente,250000.0,33,CHE DE LA CAVERNE,0289,97434,97415,Saint-Paul,974,1,Appartement,43.0,1,55.231227,-21.050158
2023-1287581,2023-01-03,Vente,89660.0,12,RUE VICTOR SCHOELCHER,0381,97419,97408,La Possession,974,1,Appartement,20.0,2,55.333984,-20.93135
2023-1287582,2023-01-03,Vente,390150.0,133,AV DE LA GRANDE OURSE,1746,97434,97415,Saint-Paul,974,1,Appartement,60.0,3,55.227713,-21.063802
2023-1287583,2023-01-09,Vente,360000.0,9999,CHE DES CASQUES,0285,97434,97415,Saint-Paul,974,1,Appartement,38.0,2,55.254708,-21.107473
2023-1287584,2023-01-09,Vente,580000.0,94,CHE SUMMER N 1 (ST G LES BNS),1404,97434,97415,Saint-Paul,974,0,Maison,100.0,4,55.227413,-21.048884
2023-1287586,2023-01-10,Vente,701105.0,58,RUE DES BONITES,0174,97434,97415,Saint-Paul,974,0,Maison,61.0,4,55.234102,-21.055139
2023-1287587,2023-01-04,Vente,280000.0,2,RUE ANATOLE FRANCE,0010,97419,97408,La Possession,974,0,Maison,68.0,5,55.331859,-20.937067
2023-1287588,2023-01-06,Vente,118480.0,56,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,1,Appartement,60.0,3,55.495226,-20.899
2023-1287590,2023-01-12,Vente,138000.0,26,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,1,Appartement,67.0,3,55.483274,-20.91215
2023-1287591,2023-01-06,Vente,130000.0,71,RUE TESSAN,1391,97490,97411,Saint-Denis,974,1,Appartement,56.0,3,55.47873,-20.896394
2023-1287593,2023-01-04,Vente,275000.0,2,IMP DU MERLE,1366,97430,97422,Le Tampon,974,0,Maison,77.0,4,55.515811,-21.297266
2023-1287594,2023-01-06,Vente,180000.0,157,RUE CHARLES BAUDELAIRE,0462,97440,97409,Saint-André,974,0,Maison,81.0,4,55.660586,-20.943057
2023-1287595,2023-01-13,Vente,335000.0,4,SAINTE THERESE,B310,97419,97408,La Possession,974,0,Maison,88.0,4,55.345296,-20.954741
2023-1287596,2023-01-09,Vente,50000.0,7,RUE DES GOYAVES STE CLOTI,0573,97490,97411,Saint-Denis,974,1,Appartement,20.0,1,55.484329,-20.894308
2023-1287597,2023-01-12,Vente,1120000.0,5,ALL DES SERINS,1382,97434,97415,Saint-Paul,974,0,Maison,159.0,5,55.230575,-21.030785
