id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1501228,2019-09-05,000001,Vente,254350,71,B,RUE EUGENE MICHEL,0660,97480,97412,Saint-Joseph,974,,,97412000BW1388,,,,,,,,,,,,,0,1,Maison,147,5,S,sols,,,382,55.631808,-21.375162
2019-1501229,2019-09-06,000001,Vente,163000,55,,RUE DE LA RAVINE BLANCHE,1650,97430,97422,Le Tampon,974,,,97422000EK0288,,,,,,,,,,,,,0,1,Maison,69,4,S,sols,,,232,55.516225,-21.274452
2019-1501230,2019-09-13,000001,Vente,140000,13,,RUE PIERRE BEREGOVOY,0331,97442,97417,Saint-Philippe,974,,,97417000AO0304,,,,,,,,,,,,,0,1,Maison,75,4,S,sols,,,359,55.788694,-21.353348
2019-1501231,2019-09-06,000001,Vente,240000,16,,CHE TROU DE MAGASIN,0460,97414,97403,Entre-Deux,974,,,97403000AO0466,,,,,,,,,,,,,0,,,,,T,terres,,,1283,55.470937,-21.231373
2019-1501232,2019-08-29,000001,Vente,320000,11,A,CHE CASCAVEL,0257,97421,97414,Saint-Louis,974,,,97414000EZ0358,,,,,,,,,,,,,0,1,Maison,160,4,AB,terrains a bâtir,,,900,55.442994,-21.265295
2019-1501232,2019-08-29,000001,Vente,320000,11,A,CHE CASCAVEL,0257,97421,97414,Saint-Louis,974,,,97414000EZ0358,,,,,,,,,,,,,0,1,Maison,160,4,T,terres,,,985,55.442994,-21.265295
2019-1501233,2019-09-03,000001,Vente,220000,52,,ALL DES CAMOMILLES,1261,97410,97416,Saint-Pierre,974,,,97416000EV1701,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,540,55.529402,-21.335257
2019-1501234,2019-09-06,000001,Vente,300000,,,LE BUTOR,B012,97480,97412,Saint-Joseph,974,,,97412000BO0192,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,258,55.613456,-21.379226
2019-1501234,2019-09-06,000001,Vente,300000,4,,RUE JEAN GABIN,0835,97480,97412,Saint-Joseph,974,,,97412000BO0362,,,,,,,,,,,,,0,2,Appartement,80,4,S,sols,,,406,55.613619,-21.379374
2019-1501234,2019-09-06,000001,Vente,300000,4,,RUE JEAN GABIN,0835,97480,97412,Saint-Joseph,974,,,97412000BO0362,,,,,,,,,,,,,0,2,Appartement,107,4,S,sols,,,406,55.613619,-21.379374
2019-1501234,2019-09-06,000001,Vente,300000,4,,RUE JEAN GABIN,0835,97480,97412,Saint-Joseph,974,,,97412000BO0362,,,,,,,,,,,,,0,2,Appartement,120,4,S,sols,,,406,55.613619,-21.379374
2019-1501234,2019-09-06,000001,Vente,300000,4,,RUE JEAN GABIN,0835,97480,97412,Saint-Joseph,974,,,97412000BO0362,,,,,,,,,,,,,0,2,Appartement,80,2,S,sols,,,406,55.613619,-21.379374
2019-1501235,2019-08-29,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,29,,,,,,,,,,1,2,Appartement,22,2,,,,,,55.523497,-21.272806
2019-1501235,2019-08-29,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.523497,-21.272806
2019-1501236,2019-08-30,000001,Vente,90000,2,,CHE MAXIMUS,1601,97432,97416,Saint-Pierre,974,,,97416000CZ1601,,,1,,,,,,,,,,1,2,Appartement,58,3,,,,,,55.489765,-21.299398
2019-1501236,2019-08-30,000001,Vente,90000,2,,CHE MAXIMUS,1601,97432,97416,Saint-Pierre,974,,,97416000CZ1601,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.489765,-21.299398
2019-1501237,2019-08-20,000001,Vente,260000,13,C,RUE EVARISTE DE PARNY,0490,97421,97414,Saint-Louis,974,,,97414000HL0519,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,602,55.433465,-21.252143
2019-1501238,2019-08-29,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,20,,,,,,,,,,1,2,Appartement,22,1,,,,,,55.523497,-21.272806
2019-1501238,2019-08-29,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.523497,-21.272806
2019-1501239,2019-09-06,000001,Vente,30000.11,20,B,RUE ALICE PEVERELLY,0374,97410,97416,Saint-Pierre,974,,,97416000EI0388,,,,,,,,,,,,,0,1,Maison,28,2,S,sols,,,172,55.483536,-21.340196
2019-1501240,2019-08-28,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,26,,,,,,,,,,1,2,Appartement,22,1,,,,,,55.523497,-21.272806
2019-1501240,2019-08-28,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,49,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.523497,-21.272806
2019-1501241,2019-08-30,000001,Vente,27240,46,,CHE PETIT FRERE,0796,97432,97416,Saint-Pierre,974,,,97416000HN1094,,,,,,,,,,,,,0,,,,,S,sols,,,144,55.495741,-21.272116
2019-1501241,2019-08-30,000001,Vente,27240,46,,CHE PETIT FRERE,0796,97432,97416,Saint-Pierre,974,,,97416000HN1096,,,,,,,,,,,,,0,,,,,S,sols,,,124,55.49572,-21.272168
2019-1501242,2019-09-04,000001,Vente,104358,,,MONTAUSE,B040,97424,97413,Saint-Leu,974,,,97413000CX2289,,,,,,,,,,,,,0,,,,,T,terres,,,224,55.298407,-21.193433
2019-1501243,2019-09-13,000001,Vente,215000,121,,CHE PIERRE CADET,1537,97430,97422,Le Tampon,974,,,97422000BD2567,,,,,,,,,,,,,0,1,Maison,74,3,AB,terrains a bâtir,,,823,55.530403,-21.261813
2019-1501243,2019-09-13,000001,Vente,215000,2,,CITE AH CHINE,A002,97430,97422,Le Tampon,974,,,97422000BD2571,,,,,,,,,,,,,0,,,,,S,sols,,,913,55.530935,-21.261423
2019-1501243,2019-09-13,000001,Vente,215000,2,,CITE AH CHINE,A002,97430,97422,Le Tampon,974,,,97422000BD2572,,,,,,,,,,,,,0,,,,,S,sols,,,2478,55.530208,-21.26235
2019-1501243,2019-09-13,000001,Vente,215000,2,,CITE AH CHINE,A002,97430,97422,Le Tampon,974,,,97422000BD2573,,,,,,,,,,,,,0,,,,,S,sols,,,204,55.530154,-21.262402
2019-1501244,2019-09-09,000001,Vente,136000,17,B,RUE HENRI BENARD,0584,97432,97416,Saint-Pierre,974,,,97416000HP0420,,,6,,,,,,,,,,1,2,Appartement,68,3,,,,,,55.476753,-21.282282
2019-1501244,2019-09-09,000001,Vente,136000,17,B,RUE HENRI BENARD,0584,97432,97416,Saint-Pierre,974,,,97416000HP0420,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.476753,-21.282282
2019-1501244,2019-09-09,000001,Vente,136000,17,B,RUE HENRI BENARD,0584,97432,97416,Saint-Pierre,974,,,97416000HP0420,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.476753,-21.282282
