id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2022-1626742,2022-01-05,Vente,162500.0,31,RUE DU GAL DE GAULLE,0570,97400,97411,Saint-Denis,974,1,Appartement,124.0,5,55.449315,-20.885421
2022-1626743,2022-01-05,Vente,89900.0,2,RUE DES FOUCHEROLLES,0545,97490,97411,Saint-Denis,974,1,Appartement,23.0,1,55.492201,-20.899512
2022-1626743,2022-01-05,Vente,89900.0,2,RUE DES FOUCHEROLLES,0545,97490,97411,Saint-Denis,974,1,Appartement,23.0,1,55.492201,-20.899512
2022-1626744,2022-01-07,Vente,98100.0,9999,LE MOULIN JOLI,B210,97419,97408,La Possession,974,1,Appartement,43.0,2,55.326697,-20.962288
2022-1626745,2022-01-10,Vente,94960.0,35,ALL DES OPALES,1027,97400,97411,Saint-Denis,974,1,Appartement,46.0,3,55.446883,-20.893059
2022-1626746,2022-01-04,Vente,129000.0,4,RUE DU PORT,1170,97434,97415,Saint-Paul,974,1,Appartement,25.0,1,55.224235,-21.053461
2022-1626747,2022-01-13,Vente,56000.0,11,CHE DU CANAL URBAIN,0331,97441,97420,Sainte-Suzanne,974,1,Appartement,33.0,2,55.605494,-20.903918
2022-1626748,2022-01-11,Vente,122000.0,29,RUE EDMOND ALBIUS,0473,97400,97411,Saint-Denis,974,1,Appartement,67.0,2,55.471151,-20.90172
2022-1626750,2022-01-13,Vente,252900.0,1,RUE ACHILLE BERG,1559,97400,97411,Saint-Denis,974,1,Appartement,79.0,4,55.45848,-20.907772
2022-1626751,2022-01-06,Vente,170000.0,6,IMP DES QUATRE EPICES,1231,97423,97415,Saint-Paul,974,0,Maison,62.0,4,55.31209,-21.05753
2022-1626752,2022-01-13,Vente,126000.0,19,AV MAHATMA GANDHI,0696,97441,97420,Sainte-Suzanne,974,1,Appartement,65.0,4,55.633329,-20.926069
2022-1626753,2022-01-12,Vente,185000.0,9001,CHE DES LONGOSES,0793,97400,97411,Saint-Denis,974,1,Appartement,69.0,3,55.457784,-20.908256
2022-1626755,2022-01-12,Vente,433200.0,40,RUE JEAN HINGLO,0206,97419,97408,La Possession,974,0,Maison,109.0,4,55.344143,-20.960957
2022-1626756,2022-01-14,Vente,44100.0,42,AV DESBASSYNS,0391,97490,97411,Saint-Denis,974,1,Appartement,20.0,1,55.479827,-20.890314
2022-1626757,2022-01-14,Vente,374050.0,70,RUE DES REMPARTS,0226,97438,97418,Sainte-Marie,974,0,Maison,90.0,4,55.525342,-20.925282
2022-1626757,2022-01-14,Vente,374050.0,70,RUE DES REMPARTS,0226,97438,97418,Sainte-Marie,974,0,Maison,90.0,4,55.525342,-20.925282
2022-1626758,2022-01-07,Vente,59000.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.443835,-20.878704
2022-1626761,2022-01-12,Vente,99000.0,45,AV LECONTE DE LISLE,0756,97490,97411,Saint-Denis,974,1,Appartement,63.0,3,55.484059,-20.892319
2022-1626764,2022-01-10,Vente,221070.0,9,RUE DES MOUETTES,1022,97434,97415,Saint-Paul,974,1,Appartement,29.0,1,55.234278,-21.092661
2022-1626766,2022-01-14,Vente,400000.0,13,RUE DU COMMERCE,0130,97414,97403,Entre-Deux,974,0,Maison,130.0,7,55.470582,-21.247487
2022-1626766,2022-01-14,Vente,400000.0,13,RUE DU COMMERCE,0130,97414,97403,Entre-Deux,974,0,Maison,130.0,7,55.470582,-21.247487
2022-1626767,2022-01-18,Vente,103000.0,24,RUE DES SABLES,1240,97400,97411,Saint-Denis,974,1,Appartement,33.0,1,55.452609,-20.874802
2022-1626768,2022-01-18,Vente,74500.0,18,RUE DE LA CASERNE,0290,97400,97411,Saint-Denis,974,1,Appartement,41.0,2,55.441932,-20.8814
