id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2020-1418426,2020-01-06,Vente,425000.0,19,RLE DATIER,0385,97400,97411,Saint-Denis,974,0,Maison,93.0,3,55.459532,-20.884153
2020-1418427,2020-01-10,Vente,113000.0,26,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,1,Appartement,76.0,3,55.483274,-20.91215
2020-1418428,2020-01-09,Vente,255000.0,58,CHE DE LA MAIRIE    (GUILL),0951,97423,97415,Saint-Paul,974,0,Maison,54.0,3,55.300334,-21.032965
2020-1418430,2020-01-13,Vente,530000.0,33,RUE DES SEYCHELLES,1384,97434,97415,Saint-Paul,974,0,Maison,105.0,4,55.224451,-21.074647
2020-1418431,2020-01-13,Vente,67966.0,212,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,1,Appartement,26.0,1,55.443434,-20.906418
2020-1418432,2020-01-06,Vente,130000.0,27,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,26.0,3,55.459991,-20.896613
2020-1418433,2020-01-09,Vente,53000.0,18,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.444988,-20.902814
2020-1418435,2020-01-15,Vente,62000.0,53,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,1,Appartement,32.0,2,55.477392,-20.911613
2020-1418437,2020-01-17,Vente,35000.0,41,RTE CD 60 CHAUDRON A MOUFIA,0299,97490,97411,Saint-Denis,974,1,Appartement,19.0,1,55.492201,-20.899512
2020-1418438,2020-01-17,Vente,50500.0,5,RUE DU MAINE,0806,97490,97411,Saint-Denis,974,1,Appartement,29.0,1,55.491286,-20.903247
2020-1418439,2020-01-17,Vente,124000.0,71,RUE TESSAN,1391,97490,97411,Saint-Denis,974,1,Appartement,59.0,3,55.47873,-20.896394
2020-1418440,2020-01-08,Vente,682500.0,21,IMP DES GRANDS BOIS,1875,97435,97415,Saint-Paul,974,0,Maison,143.0,5,55.261442,-21.048701
2020-1418442,2020-01-20,Vente,108000.0,6,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,1,Appartement,65.0,3,55.474747,-20.893122
2020-1418443,2020-01-08,Vente,325000.0,36,RUE PHILIBERT,1110,97400,97411,Saint-Denis,974,0,Maison,38.0,3,55.447157,-20.887331
2020-1418444,2020-01-22,Vente,79000.0,25,BD DE LA PROVIDENCE,1160,97400,97411,Saint-Denis,974,1,Appartement,41.0,1,55.456121,-20.892859
2020-1418445,2020-01-03,Vente,583010.0,2,ALL DES CORNALINES,0402,97400,97411,Saint-Denis,974,0,Maison,142.0,5,55.448357,-20.898798
2020-1418446,2020-01-07,Vente,290000.0,7,RUE DES CYPRIS,0373,97434,97415,Saint-Paul,974,1,Appartement,65.0,3,55.241839,-21.092118
2020-1418447,2020-01-10,Vente,52000.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,22.0,1,55.443835,-20.878704
