id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1674586,2021-07-30,Vente,280000.0,1210,AV ILE DE FRANCE,0910,97440,97409,Saint-André,974,0,Maison,118.0,3,55.649055,-20.949869
2021-1674587,2021-08-05,Vente,112000.0,75,RUE DE LA CLINIQUE,0341,97490,97411,Saint-Denis,974,1,Appartement,52.0,3,55.478297,-20.899658
2021-1674588,2021-08-04,Vente,69519.0,20,RUE JEAN COCTEAU,0651,97490,97411,Saint-Denis,974,2,Appartement,29.0,1,55.466686,-20.887259
2021-1674589,2021-08-10,Vente,235000.0,12,RUE NANTIER DIDIEE,0993,97490,97411,Saint-Denis,974,1,Appartement,78.0,4,55.478972,-20.898884
2021-1674590,2021-08-09,Vente,185000.0,45,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,1,Appartement,67.0,3,55.477226,-20.910051
2021-1674591,2021-08-12,Vente,77000.0,17,RTE LA RIVIERE DES PLUIES,1187,97490,97411,Saint-Denis,974,1,Appartement,42.0,2,55.501065,-20.900533
2021-1674592,2021-08-06,Vente,64200.0,3,RUE DE L ANJOU,0094,97490,97411,Saint-Denis,974,1,Appartement,29.0,2,55.490874,-20.902756
2021-1674593,2021-07-29,Vente,125840.0,52,CHE DE LA GLACIERE,0588,97400,97411,Saint-Denis,974,0,Maison,6.0,1,55.455625,-20.911544
2021-1674593,2021-07-29,Vente,125840.0,52,CHE DE LA GLACIERE,0588,97400,97411,Saint-Denis,974,0,Maison,68.0,5,55.455625,-20.911544
2021-1674593,2021-07-29,Vente,125840.0,52,CHE DE LA GLACIERE,0588,97400,97411,Saint-Denis,974,0,Maison,39.0,2,55.455625,-20.911544
2021-1674595,2021-08-09,Vente,470000.0,15,RUE EMERY TALVY,0087,97438,97418,Sainte-Marie,974,0,Maison,111.0,4,55.555089,-20.894728
2021-1674596,2021-08-05,Vente,210000.0,1,RUE DES MUREX,1023,97434,97415,Saint-Paul,974,1,Appartement,34.0,2,55.253834,-21.108281
2021-1674597,2021-08-09,Vente,80520.0,24,RUE TOURETTE,1400,97400,97411,Saint-Denis,974,2,Appartement,31.0,1,55.446127,-20.887473
2021-1674598,2021-08-12,Vente,180000.0,6,RUE OMEGA,1854,97460,97415,Saint-Paul,974,1,Appartement,66.0,3,55.283674,-20.983793
2021-1674600,2021-07-23,Vente,127500.0,45,RLE MOULIN A MAIS,0290,97438,97418,Sainte-Marie,974,0,Maison,106.0,4,55.547069,-20.900042
2021-1674601,2021-08-11,Vente,63000.0,7,RUE SADI CARNOT,0410,97420,97407,Le Port,974,1,Appartement,28.0,1,55.293043,-20.936838
2021-1674602,2021-07-23,Vente,377000.0,18,ALL DES IRIS - ST BERNARD,0696,97417,97411,Saint-Denis,974,0,Maison,132.0,6,55.405545,-20.909559
2021-1674602,2021-07-23,Vente,377000.0,18,ALL DES IRIS - ST BERNARD,0696,97417,97411,Saint-Denis,974,0,Maison,132.0,6,55.405545,-20.909559
2021-1674603,2021-07-29,Vente,735000.0,7,RUE DES MARGOSES,0978,97460,97415,Saint-Paul,974,0,Maison,178.0,4,55.262548,-21.018549
2021-1674605,2021-07-29,Vente,425000.0,14,RUE JACQUES LOUGNON,0474,97419,97408,La Possession,974,0,Maison,93.0,4,55.327636,-20.953566
2021-1674607,2021-08-12,Vente,190000.0,60,RUE DES FLAMBOYANTS,0780,97440,97409,Saint-André,974,0,Maison,73.0,5,55.659262,-20.973695
2021-1674610,2021-07-30,Vente,618000.0,36,RUE DES EMERAUDES,0174,97419,97408,La Possession,974,0,Maison,125.0,4,55.328641,-20.967593
2021-1674613,2021-08-13,Vente,70000.0,6,RUE EDITH PIAF,0309,97438,97418,Sainte-Marie,974,1,Appartement,24.0,1,55.553999,-20.899115
2021-1674614,2021-08-12,Vente,151200.0,26,RUE LEON DIERX,0758,97400,97411,Saint-Denis,974,1,Appartement,72.0,3,55.45909,-20.891158
